track_name,model_id,r2,rmse,mae,n,evidence_class,count_as_independent_headline,decision_reason
Random_Promoter_DREAM_base_track_12,T02_selection_potential_proxy,0.2445400023666976,2.0630933023798232,1.6035964094548667,4000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_20,T02_selection_potential_proxy,0.2304844127903973,2.0792260961963804,1.6087813519791463,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_11,T02_selection_potential_proxy,0.2304844127903973,2.0792260961963804,1.6087813519791463,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_17,T02_selection_potential_proxy,0.2304844127903973,2.0792260961963804,1.6087813519791463,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
GSE221384_context_track,T04_observable_alignment_proxy,0.2117140378824361,1.609996750848716,1.326798064371269,37500,secondary_support,no,external/exploratory support; not primary headline
PARM_GSE301246_held_out_context_track_4,M08_dynamic_condition_weighted_char6,0.1521294349282176,102.81180221871176,67.07527625454068,10,exclude_from_headline,no,small-n branch; keep only in secondary_support or sensitivity table
PARM_GSE301246_held_out_context_track_2,M03_GC_length_multi_char6,0.145641794700057,116.54328796478576,63.96911116422266,37500,primary_headline,yes,positive context/transfer evidence
PARM_GSE301246_held_out_context_track_3,M03_GC_length_multi_char6,0.142208150345333,219.26877502120715,146.30192556490076,10,exclude_from_headline,no,small-n branch; keep only in secondary_support or sensitivity table
PARM_GSE301246_held_out_context_track_7,M06_GC_length_condition_gated_char6,0.0594498016575664,13344.944910453003,11271.332305820988,10,exclude_from_headline,no,small-n branch; keep only in secondary_support or sensitivity table
PARM_GSE301246_held_out_context_track_TaskB,T01_mutational_prior_proxy,0.0138868353099598,0.6525932461357723,0.5098057222025701,133,boundary_failure,no,TaskB is weak or near-zero; use as transfer boundary
PARM_GSE301246_Task_C_stress_test,M06_GC_length_condition_gated_char6,-0.0388875635281249,0.1536321773004771,0.0772293180340149,32976,boundary_failure,no,stress-test branch; use as boundary evidence
PARM_GSE301246_held_out_context_track_6,M03_GC_length_multi_char6,-0.1360090119623944,32.250339703517696,27.223892077418647,10,exclude_from_headline,no,small-n branch; keep only in secondary_support or sensitivity table
Random_Promoter_DREAM_base_track,M03_GC_length_multi_char6,-0.3421549942831152,6.385826226084235,4.538658898018887,89562,boundary_failure,no,negative R2; use as explicit failure/boundary result
extra_test_maude_shift_predictions_v0,M09_dynamic_condition_weighted_multi_char6,-12.164092131389452,7.585458968795539,7.4293832650539935,20000,exploratory_only,no,prediction-derived or extra branch; not headline evidence
extra_test_inregime_predictions_v0,M09_dynamic_condition_weighted_multi_char6,-20.82777179096411,7.007647369177582,6.893101972183899,20000,exploratory_only,no,prediction-derived or extra branch; not headline evidence
extra_val_inregime_predictions_v0,M09_dynamic_condition_weighted_multi_char6,-20.89873013064813,6.95651664901361,6.847012696474755,20000,exploratory_only,no,prediction-derived or extra branch; not headline evidence
